,Pais,Sexo,Edad,Causa de Muerte,Cantidad
817,0,1,3,32,1
818,0,1,3,33,14
819,0,1,3,34,54
820,0,1,3,35,120
821,0,1,3,36,8
822,0,1,3,37,241
823,0,1,3,38,0
824,0,1,3,39,142
825,0,1,3,40,14
826,0,1,3,41,115
827,0,1,3,42,0
828,0,1,3,43,40
829,0,1,3,44,45
830,0,1,3,45,53
831,0,1,3,46,40
832,0,1,3,48,0
833,0,1,3,49,16
834,0,1,3,50,108
835,0,1,3,51,453
836,0,1,3,52,211
837,0,1,3,53,143
838,0,1,3,54,3
839,0,1,3,55,2
840,0,1,3,56,6
841,0,1,3,57,11
842,0,1,3,58,95
843,0,1,3,59,47
844,0,1,3,60,231
845,0,1,3,61,211
846,0,1,3,62,95
847,0,1,3,63,10
848,0,1,4,0,339
849,0,1,4,1,8
850,0,1,4,2,18
851,0,1,4,3,0
852,0,1,4,4,0
853,0,1,4,5,0
854,0,1,4,6,0
855,0,1,4,7,124
856,0,1,4,8,0
857,0,1,4,9,0
858,0,1,4,10,10
859,0,1,4,11,155
860,0,1,4,12,0
861,0,1,4,13,2134
862,0,1,4,14,2064
863,0,1,4,15,18
864,0,1,4,16,19
865,0,1,4,17,57
866,0,1,4,18,162
867,0,1,4,19,32
868,0,1,4,20,65
869,0,1,4,21,111
870,0,1,4,23,93
871,0,1,4,24,31
872,0,1,4,25,19
873,0,1,4,26,183
874,0,1,4,27,133
875,0,1,4,28,5
876,0,1,4,29,12
877,0,1,4,30,89
878,0,1,4,31,795
879,0,1,4,32,4
880,0,1,4,33,35
881,0,1,4,34,182
882,0,1,4,35,244
883,0,1,4,36,21
884,0,1,4,37,472
885,0,1,4,38,1
886,0,1,4,39,219
887,0,1,4,40,46
888,0,1,4,41,252
889,0,1,4,42,1
890,0,1,4,43,98
891,0,1,4,44,48
892,0,1,4,45,132
893,0,1,4,46,99
894,0,1,4,48,0
895,0,1,4,49,15
896,0,1,4,50,212
897,0,1,4,51,438
898,0,1,4,52,200
899,0,1,4,53,129
900,0,1,4,54,9
901,0,1,4,55,4
902,0,1,4,56,7
903,0,1,4,57,6
904,0,1,4,58,78
905,0,1,4,59,41
906,0,1,4,60,576
907,0,1,4,61,291
908,0,1,4,62,24
909,0,1,4,63,2
910,0,1,5,0,441
911,0,1,5,1,13
912,0,1,5,2,30
913,0,1,5,3,0
914,0,1,5,4,0
915,0,1,5,5,0
916,0,1,5,6,1
917,0,1,5,7,272
918,0,1,5,8,0
919,0,1,5,9,0
920,0,1,5,10,10
921,0,1,5,11,73
922,0,1,5,12,0
923,0,1,5,13,4336
924,0,1,5,14,4219
925,0,1,5,15,37
926,0,1,5,16,58
927,0,1,5,17,154
928,0,1,5,18,374
929,0,1,5,19,90
930,0,1,5,20,264
931,0,1,5,21,500
932,0,1,5,23,176
933,0,1,5,24,39
934,0,1,5,25,22
935,0,1,5,26,405
936,0,1,5,27,340
937,0,1,5,28,14
938,0,1,5,29,19
939,0,1,5,30,125
940,0,1,5,31,1844
941,0,1,5,32,8
942,0,1,5,33,105
943,0,1,5,34,426
944,0,1,5,35,569
945,0,1,5,36,35
946,0,1,5,37,1081
947,0,1,5,38,0
948,0,1,5,39,476
949,0,1,5,40,201
950,0,1,5,41,513
951,0,1,5,42,11
952,0,1,5,43,195
953,0,1,5,44,81
954,0,1,5,45,333
955,0,1,5,46,266
956,0,1,5,48,0
957,0,1,5,49,17
958,0,1,5,50,452
959,0,1,5,51,444
960,0,1,5,52,199
961,0,1,5,53,128
962,0,1,5,54,2
963,0,1,5,55,4
964,0,1,5,56,3
965,0,1,5,57,4
966,0,1,5,58,80
967,0,1,5,59,35
968,0,1,5,60,1003
969,0,1,5,61,249
970,0,1,5,62,1
971,0,1,5,63,0
972,0,1,6,0,919
973,0,1,6,1,43
974,0,1,6,2,42
975,0,1,6,3,0
976,0,1,6,4,0
977,0,1,6,5,0
978,0,1,6,6,1
979,0,1,6,7,692
980,0,1,6,8,0
981,0,1,6,9,0
982,0,1,6,10,28
983,0,1,6,11,42
984,0,1,6,12,0
985,0,1,6,13,7071
986,0,1,6,14,6811
987,0,1,6,15,69
988,0,1,6,16,114
989,0,1,6,17,228
990,0,1,6,18,685
991,0,1,6,19,188
992,0,1,6,20,476
993,0,1,6,21,994
994,0,1,6,23,379
995,0,1,6,24,105
996,0,1,6,25,62
997,0,1,6,26,965
998,0,1,6,27,809
999,0,1,6,28,20
1000,0,1,6,29,56
1001,0,1,6,30,223
1002,0,1,6,31,4778
1003,0,1,6,32,13
1004,0,1,6,33,372
1005,0,1,6,34,1149
1006,0,1,6,35,1143
1007,0,1,6,36,129
1008,0,1,6,37,3056
1009,0,1,6,38,1
1010,0,1,6,39,1346
1011,0,1,6,40,558
1012,0,1,6,41,1065
1013,0,1,6,42,22
1014,0,1,6,43,409
1015,0,1,6,44,126
1016,0,1,6,45,744
1017,0,1,6,46,556
1018,0,1,6,48,0
1019,0,1,6,49,15
1020,0,1,6,50,1081
